"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"SAFE PLACE FOR ANIMALS","MALLARD DRIVE  0","125E","A","003.00","000","125E A 00300 000","VILLAGE GREEN BUSINE","18","County","2/18/2016"
"SOUTHEAST COMMUNITY FIRE DEPT","31E HWY  0","068","","120.02","000","068    12002 000","","2B","County","12/18/2019"
"STATE OF TENNESSEE","109N HWY  0","033I","C","025.00","000","033I C 02500 000","","","County","1/14/2025"
"STATE OF TENNESSEE","HARTSVILLE PIKE  0","110","","045.10","000","110    04510 000","","","County","6/26/2015"
"STATE OF TENNESSEE C/O VOLUNTEER STATE COMMUNITY COLLEGE","NASHVILLE PIKE  1480","136","","005.00","000","136    00500 000","","","County","11/18/1969"
"SUMNER COUNTY","HAWKINS DRIVE  4178","028N","A","016.01","000","028N A 01601 000","","","County","2/19/1980"
"SUMNER COUNTY","EPPERSON SPRINGS ROAD  2305","044D","B","028.01","000","044D B 02801 000","","","County","2/15/2013"
"SUMNER COUNTY","TYREES SPRING ROAD  508","077","","097.00","000","077    09700 000","","","County","10/15/1985"
"SUMNER COUNTY","MEADOWS ROAD  0","077","","098.00","000","077    09800 000","","","County","10/15/1985"
"SUMNER COUNTY","109N HWY  0","080","","020.03","000","080    02003 000","","","County","8/11/1977"
"SUMNER COUNTY","UNION SCHOOL ROAD  1005","113","","025.00","000","113    02500 000","DRAPER FARM","","County","2/23/1999"
"SUMNER COUNTY","LIBERTY LANE  0","115","","049.01","000","115    04901 000","","","County","4/3/1999"
"SUMNER COUNTY","LOUISVILLE HWY  1174","121P","C","011.01","000","121P C 01101 000","","","County","2/22/2016"
"SUMNER COUNTY","HAPPY HOLLOW ROAD  0","122","","062.06","000","122    06206 000","","","County","8/10/1990"
"SUMNER COUNTY","LONG HOLLOW PIKE  0","122","","069.01","000","122    06901 000","","","County","8/19/1976"
"SUMNER COUNTY","LONG HOLLOW PIKE  3199","122","","070.01","000","122    07001 000","","","County","9/16/1992"
"SUMNER COUNTY","LONG HOLLOW PIKE  0","124","","042.01","000","124    04201 000","","","County","2/11/2011"
"SUMNER COUNTY","LONG HOLLOW PIKE  0","124H","A","050.01","000","124H A 05001 000","","","County","4/21/2010"
"SUMNER COUNTY","LONG HOLLOW PIKE  0","124H","A","050.02","000","124H A 05002 000","","","County","4/21/2010"
"SUMNER COUNTY","LOWER STATION CAMP CK  0","124O","A","121.01","000","124O A 12101 000","","","County","6/26/2013"
"SUMNER COUNTY","LONG HOLLOW PIKE  0","126A","D","018.00","000","126A D 01800 000","","","County","11/24/1976"
"SUMNER COUNTY","FOSTER AVENUE S  379","126C","M","012.00","000","126C M 01200 000","","","County","6/20/2002"
"SUMNER COUNTY","WATER AVENUE SOUTH  0","126C","M","026.00","000","126C M 02600 000","FIRST BAPTIST CHURCH S WATER PARKING","1","County","9/20/2018"
"SUMNER COUNTY","BELVEDERE DRIVE NORTH  355","126I","A","024.00","000","126I A 02400 000","SC TULIP POPLAR DR RESUB","","County","5/1/2020"
"SUMNER COUNTY","AIRPORT ROAD  0","127","","052.01","000","127    05201 000","","","County","1/20/2016"
"SUMNER COUNTY","NEWTON LANE  360","134","","027.00","000","134    02700 000","","","County","4/20/2015"
"SUMNER COUNTY","SCOTCH STREET  140","145","","067.01","000","145    06701 000","","","County","1/1/1901"
"SUMNER COUNTY","ODOMS BEND ROAD  501","149","","007.01","000","149    00701 000","","","County","6/20/1989"
"SUMNER COUNTY","ODOMS BEND ROAD  0","149","","009.00","000","149    00900 000","","","County","3/25/1982"
"SUMNER COUNTY","ODOMS BEND ROAD  0","149","","009.01","000","149    00901 000","","","County","12/18/1987"
"SUMNER COUNTY","ODOMS BEND ROAD","149","","015.01","000","149    01501 000","","","County","5/1/1990"
"SUMNER COUNTY ATTN MAYOR","AUSTIN PEAY HWY  5612","044","","122.05","000","044    12205 000","LINVILLE","1","County","7/10/2024"
"SUMNER COUNTY BOARD OF ED","GIBSON ST  300","020O","B","001.00","000","020O B 00100 000","","","County","7/17/1954"
"SUMNER COUNTY BOARD OF ED","DEWAYNE OLDHAM BLVD  4300","028N","A","002.00","000","028N A 00200 000","","","County","8/20/1999"
"SUMNER COUNTY BOARD OF ED","31E HWY  2126","028N","A","015.00","000","028N A 01500 000","","","County","10/14/1998"
"SUMNER COUNTY BOARD OF ED","HAWKINS DRIVE  4128","028N","A","016.00","000","028N A 01600 000","","","County","7/16/1951"
"SUMNER COUNTY BOARD OF ED","SOUTH BROADWAY  604","033I","C","024.00","000","033I C 02400 000","","","County","8/13/2008"
"SUMNER COUNTY BOARD OF ED","COLLEGE ST  600","034","","020.04","000","034    02004 000","","","County","5/7/1997"
"SUMNER COUNTY BOARD OF ED","109N HWY  0","039","","030.00","000","039    03000 000","","","County","5/27/1968"
"SUMNER COUNTY BOARD OF ED","S BROADWAY ST  922","039","","033.00","000","039    03300 000","","","County","5/27/1968"
